Feature,Importance
ext_col_Brilliant Silver Metallic,0.0
ext_col_Brilliant Black,0.0
ext_col_Brands Hatch Gray Metallic,0.0
ext_col_Blueprint,0.0
ext_col_Blue Reflex Mica,0.0
ext_col_Blue Metallic,0.0
ext_col_Blue Caelum,0.0
ext_col_Blu,0.0
ext_col_Dark Slate Metallic,0.0
ext_col_Black Sapphire Metallic,0.0
ext_col_Black Raven,0.0
ext_col_Black Obsidian,0.0
ext_col_Black Noir Pearl,0.0
ext_col_Black Forest Green,0.0
ext_col_Black Clearcoat,0.0
ext_col_Black Cherry,0.0
ext_col_Bayside Blue,0.0
ext_col_Billet Silver Metallic Clearcoat,0.0
ext_col_Billet Clearcoat Metallic,0.0
ext_col_Cajun Red Tintcoat,0.0
ext_col_Carbon Black Metallic,0.0
ext_col_Carbonized Gray Metallic,0.0
ext_col_Carpathian Grey,0.0
ext_col_Dark Sapphire,0.0
ext_col_Dark Moss,0.0
ext_col_Dark Matter Metallic,0.0
ext_col_Dark Gray Metallic,0.0
ext_col_Dark Graphite Metallic,0.0
ext_col_Dark Ash Metallic,0.0
ext_col_Custom Color,0.0
ext_col_Crystal White Pearl,0.0
ext_col_Crystal Black Silica,0.0
ext_col_Crystal Black Pearl,0.0
ext_col_Crystal Black,0.0
ext_col_Crimson Red Tintcoat,0.0
ext_col_Cobra Beige Metallic,0.0
ext_col_Cirrus Silver Metallic,0.0
ext_col_Chronos Gray Metallic,0.0
ext_col_Chronos Gray,0.0
ext_col_Cayenne Red Tintcoat,0.0
ext_col_Caviar,0.0
ext_col_Caspian Blue,0.0
ext_col_Carrara White Metallic,0.0
ext_col_Carpathian Grey Premium Metallic,0.0
ext_col_Indus Silver,0.0
ext_col_Ingot Silver Metallic,0.0
ext_col_Shadow Gray Metallic,0.0
ext_col_Platinum Gray Metallic,0.0
ext_col_Quartzite Grey Metallic,0.0
ext_col_Quartz White,0.0
ext_col_Quartz Blue Pearl,0.0
ext_col_Pure White,0.0
ext_col_Pristine White,0.0
ext_col_Portofino Gray,0.0
ext_col_Portofino Blue Metallic,0.0
ext_col_Polymetal Gray Metallic,0.0
ext_col_Platinum White Pearl,0.0
ext_col_Platinum Quartz Metallic,0.0
ext_col_Pink,0.0
ext_col_Radiant Red Metallic II,0.0
ext_col_Phantom Black Pearl Effect / Black Roof,0.0
ext_col_Phantom Black,0.0
ext_col_Pearl White,0.0
ext_col_Patriot Blue Pearlcoat,0.0
ext_col_Passion Red,0.0
ext_col_Pacific Blue,0.0
ext_col_Oryx White Prl,0.0
ext_col_Orca Black Metallic,0.0
ext_col_Onyx Black,0.0
ext_col_Octane Red Pearlcoat,0.0
ext_col_Quicksilver Metallic,0.0
ext_col_Aventurine Green Metallic,0.0
ext_col_Iridescent Pearl Tricoat,0.0
ext_col_Ruby Flare Pearl,0.0
ext_col_Shadow Black,0.0
ext_col_Selenite Grey Metallic,0.0
ext_col_Selenite Gray Metallic,0.0
ext_col_Scarlet Ember,0.0
ext_col_Satin Steel Metallic,0.0
ext_col_Santorini Black,0.0
ext_col_Santorin Black,0.0
ext_col_Beluga Black,0.0
ext_col_Sandstone Metallic,0.0
ext_col_Ruby Red Metallic Tinted Clearcoat,0.0
ext_col_Rosso Mars Metallic,0.0
ext_col_Aurora Black,0.0
ext_col_Rosso Corsa,0.0
ext_col_Rosso,0.0
ext_col_Rift Metallic,0.0
ext_col_Rich Garnet Metallic,0.0
ext_col_Remington Red Metallic,0.0
ext_col_Reflex Silver,0.0
ext_col_Redline Red,0.0
ext_col_Red Quartz Tintcoat,0.0
ext_col_Red Obsession,0.0
ext_col_Red Multi,0.0
ext_col_Obsidian Black Metallic,0.0
ext_col_Obsidian,0.0
ext_col_Northsky Blue Metallic,0.0
ext_col_Lizard Green,0.0
ext_col_Magnetic Metallic,0.0
ext_col_Magnetic Gray Metallic,0.0
ext_col_Magnetic Gray Clearcoat,0.0
ext_col_Magnetic Black,0.0
ext_col_Machine Gray Metallic,0.0
ext_col_MANUFAKTUR Diamond White Bright,0.0
ext_col_Lunare White Metallic,0.0
ext_col_Lunar Silver Metallic,0.0
ext_col_Lunar Rock,0.0
ext_col_Lunar Blue Metallic,0.0
ext_col_Liquid Platinum,0.0
ext_col_Nightfall Mica,0.0
ext_col_Kodiak Brown Metallic,0.0
ext_col_Kinetic Blue,0.0
ext_col_Kemora Gray Metallic,0.0
ext_col_Jupiter Red,0.0
ext_col_Jungle Green,0.0
ext_col_Jet Black Mica,0.0
ext_col_Isle of Man Green Metallic,0.0
ext_col_Ironman Silver,0.0
ext_col_Iridium Silver Metallic,0.0
ext_col_Iridium Metallic,0.0
ext_col_Magnetite Black Metallic,0.0
ext_col_Magnetite Gray Metallic,0.0
ext_col_Majestic Black Pearl,0.0
ext_col_Majestic Plum Metallic,0.0
ext_col_Nightfall Gray Metallic,0.0
ext_col_Nero Daytona,0.0
ext_col_Nebula Gray Pearl,0.0
ext_col_Navarre Blue,0.0
ext_col_Navarra Blue Metallic,0.0
ext_col_Navarra Blue,0.0
ext_col_Nautical Blue Pearl,0.0
ext_col_Mythos Black,0.0
ext_col_Mountain Air Metallic,0.0
ext_col_Mosaic Black Metallic,0.0
ext_col_Moonlight Cloud,0.0
ext_col_Mineral White,0.0
ext_col_Midnight Silver Metallic,0.0
ext_col_Midnight Blue Metallic,0.0
ext_col_Midnight Black,0.0
ext_col_Maximum Steel Metallic,0.0
ext_col_Matador Red Mica,0.0
ext_col_Matador Red Metallic,0.0
ext_col_Maroon,0.0
ext_col_Manhattan Noir Metallic,0.0
ext_col_Mango Tango Pearlcoat,0.0
ext_col_Rapid Red Metallic Tinted Clearcoat,0.0
